ts,src,dst,sport,dport,proto,length,flags
1761810629.1065786,192.168.128.228,57.144.124.145,51317,443,6,83,PA
1761810629.5204947,57.144.124.145,192.168.128.228,443,51317,6,54,A
1761810629.6786509,57.144.124.145,192.168.128.228,443,51317,6,79,PA
1761810629.7373717,192.168.128.228,57.144.124.145,51317,443,6,54,A
1761810632.8690047,192.168.128.228,192.168.128.142,64286,53,17,72,
1761810632.8690047,192.168.128.228,192.168.128.142,53829,53,17,72,
1761810632.8690047,192.168.128.228,192.168.128.142,55045,53,17,72,
1761810633.0100555,192.168.128.142,192.168.128.228,53,64286,17,333,
1761810633.0100555,192.168.128.142,192.168.128.228,53,53829,17,225,
1761810633.0168252,192.168.128.142,192.168.128.228,53,55045,17,254,
1761810633.1488464,192.168.128.228,192.168.128.142,49414,53,17,80,
1761810633.155856,192.168.128.228,192.168.128.142,62662,53,17,80,
1761810633.29735,192.168.128.142,192.168.128.228,53,62662,17,302,
1761810633.3054476,192.168.128.142,192.168.128.228,53,49414,17,254,
1761810636.7024803,192.168.128.228,224.0.0.251,5353,5353,17,87,
1761810637.1626716,192.168.128.228,192.168.128.142,55079,53,17,77,
1761810637.1626716,192.168.128.228,192.168.128.142,64200,53,17,77,
1761810637.1665046,192.168.128.228,192.168.128.142,63007,53,17,77,
1761810637.5100038,192.168.128.142,192.168.128.228,53,55079,17,188,
1761810637.5100038,192.168.128.142,192.168.128.228,53,64200,17,144,
1761810637.5120094,192.168.128.142,192.168.128.228,53,63007,17,188,
1761810637.514392,192.168.128.228,13.107.6.254,64425,443,6,66,S
1761810637.6091478,13.107.6.254,192.168.128.228,443,64425,6,66,SA
1761810637.6091478,192.168.128.228,13.107.6.254,64425,443,6,54,A
1761810637.6091478,192.168.128.228,13.107.6.254,64425,443,6,1354,A
1761810637.6091478,192.168.128.228,13.107.6.254,64425,443,6,545,PA
1761810637.703935,13.107.6.254,192.168.128.228,443,64425,6,54,A
1761810637.703935,13.107.6.254,192.168.128.228,443,64425,6,153,PA
1761810637.703935,13.107.6.254,192.168.128.228,443,64425,6,54,A
1761810637.703935,192.168.128.228,13.107.6.254,64425,443,6,54,A
1761810637.703935,192.168.128.228,13.107.6.254,64425,443,6,691,PA
1761810637.8848314,13.107.6.254,192.168.128.228,443,64425,6,1354,A
1761810637.886375,13.107.6.254,192.168.128.228,443,64425,6,1354,A
1761810637.886375,13.107.6.254,192.168.128.228,443,64425,6,1354,A
1761810637.887914,13.107.6.254,192.168.128.228,443,64425,6,476,PA
1761810637.887914,13.107.6.254,192.168.128.228,443,64425,6,54,A
1761810637.887914,192.168.128.228,13.107.6.254,64425,443,6,54,A
1761810637.8894813,192.168.128.228,13.107.6.254,64425,443,6,128,PA
1761810637.8894813,192.168.128.228,13.107.6.254,64425,443,6,146,PA
1761810637.8894813,192.168.128.228,13.107.6.254,64425,443,6,663,PA
1761810638.0092537,13.107.6.254,192.168.128.228,443,64425,6,1354,PA
1761810638.0092537,13.107.6.254,192.168.128.228,443,64425,6,54,A
1761810638.0092537,13.107.6.254,192.168.128.228,443,64425,6,513,PA
1761810638.0092537,192.168.128.228,13.107.6.254,64425,443,6,66,A
1761810638.0219274,13.107.6.254,192.168.128.228,443,64425,6,116,PA
1761810638.0219274,192.168.128.228,13.107.6.254,64425,443,6,54,A
1761810638.0219274,192.168.128.228,13.107.6.254,64425,443,6,85,PA
1761810638.0219274,13.107.6.254,192.168.128.228,443,64425,6,85,PA
1761810638.0219274,13.107.6.254,192.168.128.228,443,64425,6,565,PA
1761810638.0219274,192.168.128.228,13.107.6.254,64425,443,6,54,A
1761810638.0219274,13.107.6.254,192.168.128.228,443,64425,6,85,PA
1761810638.0219274,192.168.128.228,13.107.6.254,64425,443,6,142,PA
1761810638.1276252,13.107.6.254,192.168.128.228,443,64425,6,54,A
1761810638.1288729,13.107.6.254,192.168.128.228,443,64425,6,54,A
1761810638.1288729,13.107.6.254,192.168.128.228,443,64425,6,247,PA
1761810638.13015,13.107.6.254,192.168.128.228,443,64425,6,85,PA
1761810638.13015,192.168.128.228,13.107.6.254,64425,443,6,54,A
1761810638.136885,192.168.128.228,192.168.128.142,64881,53,17,89,
1761810638.136885,192.168.128.228,192.168.128.142,57124,53,17,89,
1761810638.138891,192.168.128.228,192.168.128.142,57072,53,17,89,
